Intent,Statement
Pride,"Daddy, I read a whole Shakespeare story alone!  "
Question,Do the stars take a nap when the morning light appears?
Excitement,Wow! I finally figured out how electricity works!  
Complaint,I don’t like this—it’s making me feel sad.
Question,Why is the sky dark at night even though space is full of shiny things?
Possession,These are my brand new shoes.
Command,I said show me! Don’t hide it
Comfort,A shared silence with you is the best kind of comfort.
Complaint,This rule is making things more difficult and I don’t like that.
Refusal,Not now! That’s a mystery I’m not solving.
Emotion,"I'm so happy I could burst, like a superhero saving the day!"
Emotion,I’m loved like a rainbow that someone took the time to learn by heart.
Comfort,Can I sit next to you while I do my homework?   
Command,Let’s see
Observation,The teacher is writing all the rules on the board.
Refusal,I won't sing that song.
Desire,I really want roller skates like my friend!  
Distress,"I got lost in the supermarket, and my happy shopping trip is all spoiled, making me feel bleh!"
Refusal,"No, that’s mine and I’m still playing."
Need,My shoes keep slipping off—help me tie them better.
Gratitude,"my heart is richer for every giggle, hug, and sparkle tucked into those remembered days."
Complaint,It’s like the best things are allergic to me!
Command,Mine! It's mine!
Complaint,He’s not sharing and it’s making me feel really sad inside.
Emotion,It feels like my trust was a balloon—and someone popped it on purpose.
Complaint,It’s so crowded I can’t even see the floor!
Question,Are shadows and reflections created using special math?
Command,Come here and give me a big hug!
Need,I need to put my bib on.
Command,"Hold your position,stay right where you are!"
Possession,My ball. 
Distress,I feel crestfallen because it was my favorite kite.
Comfort,"Just one big hug, and I’d feel all better."
Command,Go and sit down at the table for dinner!
Command,Don't even think about touching my superhero action figures!
Command,Sit down at the table and finish your dinner!
Comfort,A cozy den in Stirling melts away my worries.
Question,What does brave mean when you say it to someone?
Gratitude,"My spirit feels so light after watching my favorite movie, I'm beholden to your generosity!"
Question,Who lives in that big house?
Gratitude,"You've made my room absolutely splendid, my sincerest appreciation for your magic!"
Desire,"I’m yearning for that cozy, just-baked cookie feeling."
Comfort,Could you read me a few more pages from my chapter book?
Complaint,I feel bored because the bus is moving like a snail.
Command,You tell me another story about Punjab! Gander over here
Possession,This is my best drawing from kindergarten.
Complaint,I feel disappointed—it’s way too sweet for my taste.
Comfort,Please remind me that my bed is cozy and safe.
Distress,"Waaah! My milk splashed all over my homework, and I'm going to cry a puddle."
Desire,A pet is all I want.
Emotion,I’m shy like a turtle peeking out of its shell in a noisy forest.
Question,Can I treat myself to another piece of toast with Marmite?
Desire,I truly want to go outside and play.
Desire,I’m wishing for more birthday time with friends and cake.
Distress,I'm really worried about my pet being sick.
Imitation,I’m pretending to be Mama with a voice full of love!
Need,I'm not ready for the day’s adventure until my hat perches on my crown!
Desire,I dream of staying up past bedtime just to watch a movie with you
Imitation,"Choo-choo, goes the train! "
Need,My thoughts are juggling question marks—read me answers in a story!
Complaint,Mine! 
Command,"Give me my teddy, he’s waiting for marmalade!"
Refusal,"Point finger!No,don’t touch it,I’m not finished yet."
Complaint,I don’t like how swimming makes my hair feel all rough.
